,kernel,C,gamma,epsilon,MAE,MSE,RMSE,R2
232,rbf,100.0,0.1,10.0,96.74804206133952,10835.95277453867,104.09588260127616,-3.4712605369097664
341,poly,0.1,0.1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
257,poly,0.001,0.001,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
263,poly,0.001,0.01,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
269,poly,0.001,0.1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
275,poly,0.001,1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
281,poly,0.001,10,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
287,poly,0.001,100,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
293,poly,0.01,0.001,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
299,poly,0.01,0.01,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
305,poly,0.01,0.1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
311,poly,0.01,1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
317,poly,0.01,10,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
323,poly,0.01,100,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
329,poly,0.1,0.001,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
335,poly,0.1,0.01,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
347,poly,0.1,1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
353,poly,0.1,10,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
359,poly,0.1,100,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
365,poly,1.0,0.001,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
371,poly,1.0,0.01,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
377,poly,1.0,0.1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
251,rbf,100.0,100,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
245,rbf,100.0,10,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
239,rbf,100.0,1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
233,rbf,100.0,0.1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
113,rbf,0.1,0.001,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
119,rbf,0.1,0.01,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
125,rbf,0.1,0.1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
131,rbf,0.1,1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
137,rbf,0.1,10,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
143,rbf,0.1,100,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
149,rbf,1.0,0.001,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
155,rbf,1.0,0.01,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
161,rbf,1.0,0.1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
383,poly,1.0,1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
167,rbf,1.0,1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
179,rbf,1.0,100,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
185,rbf,10.0,0.001,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
191,rbf,10.0,0.01,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
197,rbf,10.0,0.1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
203,rbf,10.0,1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
209,rbf,10.0,10,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
215,rbf,10.0,100,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
221,rbf,100.0,0.001,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
227,rbf,100.0,0.01,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
173,rbf,1.0,10,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
389,poly,1.0,10,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
395,poly,1.0,100,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
401,poly,10.0,0.001,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
557,sigmoid,0.1,0.1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
563,sigmoid,0.1,1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
569,sigmoid,0.1,10,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
575,sigmoid,0.1,100,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
581,sigmoid,1.0,0.001,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
587,sigmoid,1.0,0.01,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
593,sigmoid,1.0,0.1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
599,sigmoid,1.0,1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
605,sigmoid,1.0,10,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
611,sigmoid,1.0,100,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
617,sigmoid,10.0,0.001,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
623,sigmoid,10.0,0.01,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
629,sigmoid,10.0,0.1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
635,sigmoid,10.0,1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
641,sigmoid,10.0,10,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
647,sigmoid,10.0,100,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
653,sigmoid,100.0,0.001,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
659,sigmoid,100.0,0.01,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
665,sigmoid,100.0,0.1,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
